Zone,veh_type,event_type,count
18,TNC,Un-parked,5
18,TNC,unknown,1
18,Taxi,Parked,2
18,Taxi,Passenger load,2
18,Taxi,Passenger unload,2
18,Truck,Parked,9
18,Truck,Passenger load,1
18,Truck,Passenger unload,1
18,Truck,Un-parked,2
18,Truck/Large passenger van,Parked,2
19,Large passenger vehicle,Parked,7
19,Large passenger vehicle,Passenger unload,2
19,Passenger vehicle,Parked,31
19,Passenger vehicle,Passenger load,36
19,Passenger vehicle,Passenger unload,55
19,Passenger vehicle,Un-parked,3
19,TNC,Parked,15
19,TNC,Passenger load,29
19,TNC,Passenger unload,85
19,Taxi,Passenger load,1
19,Taxi,Passenger unload,2
19,Truck,Parked,1
20,Large passenger vehicle,Parked,15
20,Large passenger vehicle,Un-parked,1
20,Passenger vehicle,Parked,33
20,Passenger vehicle,Passenger load,33
20,Passenger vehicle,Passenger unload,24
20,Passenger vehicle,Un-parked,3
20,TNC,Parked,9
20,TNC,Passenger load,21
20,TNC,Passenger unload,30
20,Truck,Parked,7
20,Truck,Un-parked,1
20,Truck/Large passenger van,Parked,1
21,Large passenger vehicle,Parked,2
21,Passenger vehicle,Parked,1
21,Passenger vehicle,Passenger load,5
21,Passenger vehicle,Passenger unload,6
21,TNC,Parked,1
21,TNC,Passenger load,16
21,TNC,Passenger unload,16
21,Truck,Parked,1
22,Passenger vehicle,Passenger load,4
22,Passenger vehicle,Passenger unload,3
22,Passenger vehicle,Un-parked,1
22,TNC,Passenger load,2
22,TNC,Passenger unload,2
23,Large passenger vehicle,Parked,3
23,Large passenger vehicle,Un-parked,2
23,Motorcycle,Parked,1
23,Passenger vehicle,Parked,181
23,Passenger vehicle,Passenger load,47
23,Passenger vehicle,Passenger unload,20
23,Passenger vehicle,Un-parked,22
23,TNC,Parked,12
23,TNC,Passenger load,47
23,TNC,Passenger unload,38
23,TNC,Un-parked,1
23,Truck,Parked,11
23,Truck,Un-parked,10
24,Large passenger vehicle,Parked,3
24,Large passenger vehicle,Passenger unload,1
24,Passenger vehicle,Parked,56
24,Passenger vehicle,Passenger load,12
24,Passenger vehicle,Passenger unload,12
24,Passenger vehicle,Un-parked,2
24,TNC,Parked,8
24,TNC,Passenger load,24
24,TNC,Passenger unload,20
24,Truck,Parked,11
24,Truck,Un-parked,2
25,Large passenger vehicle,Parked,8
25,Large passenger vehicle,Passenger load,1
25,Passenger vehicle,Parked,131
25,Passenger vehicle,Passenger load,109
25,Passenger vehicle,Passenger unload,152
25,Passenger vehicle,Un-parked,8
25,TNC,Parked,6
25,TNC,Passenger load,123
25,TNC,Passenger load/unload,2
25,TNC,Passenger unload,218
25,Taxi,Passenger load,1
25,Taxi,Passenger unload,1
25,Truck,Parked,11
25,Truck,Passenger load,1
25,Truck,Passenger unload,1
25,Truck,Un-parked,5
26,Large passenger vehicle,Passenger unload,1
26,Passenger vehicle,Parked,18
26,Passenger vehicle,Passenger load,44
26,Passenger vehicle,Passenger unload,81
26,TNC,Parked,5
26,TNC,Passenger load,198
26,TNC,Passenger unload,169
26,Truck,Parked,1
27,Large passenger vehicle,Parked,18
27,Large passenger vehicle,Passenger unload,3
27,Large passenger vehicle,Un-parked,3
27,Passenger vehicle,Parked,90
27,Passenger vehicle,Passenger load,35
27,Passenger vehicle,Passenger unload,44
27,Passenger vehicle,Un-parked,7
27,TNC,Parked,9
27,TNC,Passenger load,60
27,TNC,Passenger unload,65
27,Taxi,Parked,1
27,Taxi,Passenger unload,1
27,Truck,Parked,12
27,Truck,Passenger load,1
27,Truck,Un-parked,1
28,Passenger vehicle,Passenger load,1
28,Passenger vehicle,Passenger unload,1
28,TNC,Passenger load,1
28,TNC,Passenger unload,2
12 & 13,Truck,Parked,1
17&18,Large passenger vehicle,Passenger unload,1
20 & 21,Large passenger vehicle,Parked,1
20 & 21,Truck,Parked,1
24 & 23,Truck,Parked,1
